Mod:Item:MetaData, Localized Name
thaumcraft:essentia_output, Emptying Essentia Transfuser
thaumcraft:redstone_relay, Redstone Relay
thaumcraft:pattern_crafter, Arcane Pattern Crafter
thaumcraft:potion_sprayer, Potion Sprayer
thaumcraft:activator_rail, Arcane Activator Rail
thaumcraft:stabilizer, Stabilizer
thaumcraft:vis_generator, Vis Generator
thaumcraft:condenser, Flux Condenser
thaumcraft:condenser_lattice, Flux Condenser Lattice
thaumcraft:condenser_lattice_dirty, Clogged Flux Condenser Lattice
thaumcraft:void_siphon, Void Siphon
thaumcraft:hole, Dimensional Tear
thaumcraft:effect_shock, Static Field
thaumcraft:effect_sap, Sapping Field
thaumcraft:effect_glimmer, Glimmer
thaumcraft:placeholder_brick, Infernal Furnace
thaumcraft:placeholder_obsidian, Infernal Furnace
thaumcraft:placeholder_bars, Golem Press
thaumcraft:placeholder_anvil, Golem Press
thaumcraft:placeholder_cauldron, Golem Press
thaumcraft:placeholder_table, Golem Press
thaumcraft:empty, Empty Space
thaumcraft:barrier, Warding Aura
witchery:belladonna_seeds, Belladonna Seeds
witchery:mandrake_seeds, Mandrake Seeds
witchery:artichoke_seeds, Water Artichoke Seeds
witchery:snowbell_seeds, Snowbell Seeds
witchery:wormwood_seeds, Wormwood Seeds
witchery:wolfsbane_seeds, Wolfsbane Seeds
witchery:garlic, Garlic
witchery:mindrake_bulb, Minedrake Bulb
witchery:wild_bramble, Wild Bramble
witchery:ender_bramble, Ender Bramble
witchery:void_bramble, Void Bramble
witchery:glint_weed, Glint Weed
witchery:spanish_moss, Spanish Moss
witchery:leaping_lily, Leaping Lily
witchery:ember_moss, Ember Moss
witchery:empty_critter_snare, Critter Snare
witchery:bat_critter_snare, Critter Snare (Bat)
witchery:silverfish_critter_snare, Critter Snare (Silverfish)
witchery:slime_critter_snare, Critter Snare (Slime)
witchery:magma_cube_critter_snare, Critter Snare (Magma Cube)
witchery:grassper, Grassper
witchery:blood_poppy, Blood Poppy
witchery:wispy_cotton, Wispy Cotton
witchery:demon_heart, Demon Heart
witchery:wolf_head, Wolf Head
witchery:hellhound_head, Hellhound Head
witchery:rowan_door, Rowan Door
witchery:alder_door, Alder Door
witchery:disguised_alder_door, Alder Door
witchery:hawthorn_door, Hawthorn Door
witchery:ice_door, Ice Door
witchery:chalice, Chalice
witchery:full_chalice, Chalice (Filled)
witchery:candelabra, Candelabra
witchery:alluring_skull, Alluring Skull
witchery:plain_wicker_bundle, Wicker Bundle
witchery:bloodied_wicker_bundle, Bloodied Wicker Bundle
witchery:goddess_statue, Statue of The Goddess
witchery:perpetual_ice, Perpetual Ice
witchery:ice_stairs, Ice Stairs
witchery:ice_slab, Ice Slab
witchery:ice_fence, Ice Fence
witchery:ice_fence_gate, Ice Gate
witchery:ice_pressure_plate, Ice Pressure Plate
witchery:snow_pressure_plate, Snow Pressure Plate
witchery:snow_stairs, Snow Stairs
witchery:snow_slab, Snow Slab
witchery:infinity_egg, Infinity Egg
witchery:pit_dirt, Dirt
witchery:pit_podzol, Podzol
witchery:pit_grass, Grass
witchery:garlic_garland, Garlic Garland
witchery:blood_stained_wool, Blood-stained Wool
witchery:mirror_wall, Mirror Wall
witchery:refilling_chest, Chest
witchery:torment_stone, Torment Stone
witchery:leech_chest, Leech Chest
witchery:altar, Altar
witchery:kettle, Kettle
witchery:poppet_shelf, Poppet Shelf
witchery:fleet_foot_dream_weaver, Dream Weaver of Fleet Foot
witchery:iron_arm_dream_weaver, Dream Weaver of Iron Arm
witchery:fasting_dream_weaver, Dream Weaver of Fasting
witchery:nightmares_dream_weaver, Dream Weaver of Nightmares
witchery:intensity_dream_weaver, Dream Weaver of Intensity
witchery:crystal_ball, Crystal Ball
witchery:spinning_wheel, Spinning Wheel
witchery:brazier, Brazier
witchery:witches_oven, Witches Oven
witchery:fume_funnel, Fume Funnel
witchery:filtered_fume_funnel, Filtered Fume Funnel
witchery:distillery, Distillery
witchery:scarecrow, Scarecrow
witchery:trent_effigy, Trent Effigy
witchery:witchs_ladder, Witch's Ladder
witchery:occluded_summons_statue, Statue of Occluded Summons
witchery:broken_curses_statue, Statue of Broken Curses
witchery:worship_statue, Statue of Hobgoblin Patron
witchery:cauldron, Witch's Cauldron
witchery:wolf_altar, Wolf Altar
witchery:silver_vat, Silver Vat
witchery:beartrap, Beartrap
witchery:wolftrap, Wolftrap
witchery:sun_collector, Sun Collector
witchery:blood_crucible, Blood Crucible
witchery:mirror, Mirror
witchery:heart_circle_glyph, Golden Chalk
witchery:ritual_circle_glyph, Ritual Chalk
witchery:otherwhere_circle_glyph, Otherwhere Chalk
witchery:infernal_circle_glyph, Infernal Chalk
witchery:white_coffin, White Coffin
witchery:orange_coffin, Orange Coffin
witchery:magenta_coffin, Magenta Coffin
witchery:light_blue_coffin, Light Blue Coffin
witchery:yellow_coffin, Yellow Coffin
witchery:lime_coffin, Lime Coffin
witchery:pink_coffin, Pink Coffin
witchery:gray_coffin, Gray Coffin
witchery:silver_coffin, Light Gray Coffin
witchery:cyan_coffin, Cyan Coffin
witchery:purple_coffin, Purple Coffin
witchery:blue_coffin, Blue Coffin
witchery:brown_coffin, Brown Coffin
witchery:green_coffin, Green Coffin
witchery:red_coffin, Red Coffin
witchery:black_coffin, Black Coffin
witchery:white_shaded_glass, White Shaded Glass
witchery:orange_shaded_glass, Orange Shaded Glass
witchery:magenta_shaded_glass, Magenta Shaded Glass
witchery:light_blue_shaded_glass, Light Blue Shaded Glass
witchery:yellow_shaded_glass, Yellow Shaded Glass
witchery:lime_shaded_glass, Lime Shaded Glass
witchery:pink_shaded_glass, Pink Shaded Glass
witchery:gray_shaded_glass, Gray Shaded Glass
witchery:silver_shaded_glass, Light Gray Shaded Glass
witchery:cyan_shaded_glass, Cyan Shaded Glass
witchery:purple_shaded_glass, Purple Shaded Glass
witchery:blue_shaded_glass, Blue Shaded Glass
witchery:brown_shaded_glass, Brown Shaded Glass
witchery:green_shaded_glass, Green Shaded Glass
witchery:red_shaded_glass, Red Shaded Glass
witchery:black_shaded_glass, Black Shaded Glass
witchery:rose_web_plant_mine, Poppy of Webs
witchery:rose_ink_plant_mine, Poppy of Ink
witchery:rose_thorn_plant_mine, Poppy of Thorns
witchery:rose_sprouting_plant_mine, Poppy of Sprouting
witchery:dandelion_web_plant_mine, Dandelion of Webs
witchery:dandelion_ink_plant_mine, Dandelion of Ink
witchery:dandelion_thorn_plant_mine, Dandelion of Thorns
witchery:dandelion_sprouting_plant_mine, Dandelion of Sprouting
witchery:dead_bush_web_plant_mine, Shrub of Webs
witchery:dead_bush_ink_plant_mine, Shrub of Ink
witchery:dead_bush_thorn_plant_mine, Shrub of Thorns
witchery:dead_bush_sprouting_plant_mine, Shrub of Sprouting
witchery:oak_stockade, Oak Stockade
witchery:spruce_stockade, Spruce Stockade
witchery:birch_stockade, Birch Stockade
witchery:jungle_stockade, Jungle Stockade
witchery:acacia_stockade, Acacia Stockade
witchery:dark_oak_stockade, Dark Oak Stockade
witchery:rowan_stockade, Rowan Stockade
witchery:alder_stockade, Alder Stockade
witchery:hawthorn_stockade, Hawthorn Stockade
witchery:ice_stockade, Ice Stockade
witchery:rowan_log, Rowan Wood
witchery:rowan_planks, Rowan Wood Planks
witchery:rowan_slab, Rowan Slab
witchery:rowan_stairs, Rowan Stairs
witchery:rowan_fence, Rowan Fence
witchery:rowan_fence_gate, Rowan Fence Gate
witchery:rowan_sapling, Rowan Sapling
witchery:rowan_leaves, Rowan Leaves
witchery:alder_log, Alder Wood
witchery:alder_planks, Alder Wood Planks
witchery:alder_slab, Alder Slab
witchery:alder_stairs, Alder Stairs
witchery:alder_fence, Alder Fence
witchery:alder_fence_gate, Alder Fence Gate
witchery:alder_sapling, Alder Sapling
witchery:alder_leaves, Alder Leaves
witchery:hawthorn_log, Hawthorn Wood
witchery:hawthorn_planks, Hawthorn Wood Planks
witchery:hawthorn_slab, Hawthorn Slab
witchery:hawthorn_stairs, Hawthorn Stairs
witchery:hawthorn_fence, Hawthorn Fence
witchery:hawthorn_fence_gate, Hawthorn Fence Gate
witchery:hawthorn_sapling, Hawthorn Sapling
witchery:hawthorn_leaves, Hawthorn Leaves
witchery:soft_clay_jar, Soft Clay Jar
witchery:clay_jar, Clay Jar
witchery:foul_fume, Foul Fume
witchery:diamond_vapor, Diamond Vapor
witchery:vitriol_oil, Oil of Vitriol
witchery:horned_one_exhale, Exhale of the Horned One
witchery:goddess_breath, Breath of the Goddess
witchery:goddess_tear, Tear of the Goddess
witchery:rebirth_hint, Hint of Rebirth
witchery:magic_whiff, Whiff of Magic
witchery:misfortune_reek, Reek of Misfortune
witchery:purity_odor, Odor of Purity
witchery:luck_drop, Drop of Luck
witchery:ender_dew, Ender Dew
witchery:demonic_blood, Demonic Blood
witchery:mellifluous_hunger, Mellifluous Hunger
witchery:purified_milk, Purified Milk
witchery:focused_will, Focused Will
witchery:condensed_fear, Condensed Fear
witchery:redstone_soup, Redstone Soup
witchery:flying_ointment, Flying Ointment
witchery:light_ghost, Ghost of the Light
witchery:world_soul, Soul of the World
witchery:otherwhere_spirit, Spirit of Otherwhere
witchery:infernal_animus, Infernal Animus
witchery:mystic_unguent, Mystic Unguent
witchery:infused_brew_base, Infused Brew Base
witchery:vines_brew, Brew of Vines
witchery:webs_brew, Brew of Webs
witchery:thorns_brew, Brew of Thorns
witchery:ink_brew, Brew of Ink
witchery:sprouting_brew, Brew of Sprouting
witchery:erosion_brew, Brew of Erosion
witchery:raising_brew, Brew of Raising
witchery:love_brew, Brew of Love
witchery:ice_brew, Brew of Frost
witchery:frogs_tongue_brew, Brew of Frogs Tongue
witchery:cursed_leaping_brew, Brew of Cursed Leaping
witchery:hitchcock_brew, Brew of Bodega
witchery:infection_brew, Brew of Infection
witchery:flowing_spirit_brew, Brew of Flowing Spirit
witchery:hollow_tears_brew, Brew of Hollow Tears
witchery:wasting_brew, Brew of Wasting
witchery:bats_brew, Brew of Bats
witchery:revealing_brew, Brew of Revealing
witchery:substitution_brew, Brew of Substitution
witchery:grotesque_brew, Brew of the Grotesque
witchery:depths_brew, Brew of the Depths
witchery:sleeping_brew, Brew of Sleeping
witchery:congealed_spirit, Congealed Spirit
witchery:infused_soaring_brew, Infused Brew of Soaring
witchery:infused_grave_brew, Infused Brew of the Grave
witchery:solidifying_stone_brew, Solidifying Brew (Stone)
witchery:solidifying_dirt_brew, Solidifying Brew (Dirt)
witchery:solidifying_sand_brew, Solidifying Brew (Sand)
witchery:solidifying_sandstone_brew, Solidifying Brew (Sandstone)
witchery:solidifying_erosion_brew, Solidifying Brew (Erosion)
witchery:hunger_demon_soul, Soul of Hunger Demon
witchery:anguish_demon_soul, Soul of Anguish Demon
witchery:fear_demon_soul, Soul of Fear Demon
witchery:torment_demon_soul, Soul of Torment Demon
witchery:collecting_fumes_book, §o§lWitchcraft§r§o: Collecting Fumes
witchery:distilling_book, §o§lWitchcraft§r§o: Distilling
witchery:circle_magic_book, §o§lWitchcraft§r§o: Circle Magic
witchery:brews_and_infusions_book, §o§lWitchcraft§r§o: Brews & Infusions
witchery:herbology_book, §o§lWitchcraft§r§o: Herbology
witchery:symbology_book, §o§lWitchcraft§r§o: Symbology
witchery:conjuration_and_fetishes_book, §o§lWitchcraft§r§o: Conjuration & Fetishes
witchery:biomes_book, §o§lBook of Biomes
witchery:extended_biomes_book, §o§lBook of Biomes§r§o (Extended Edition)
witchery:witches_brews_book, Witches' Brews
witchery:immortals_observations_book, Observations of an Immortal
witchery:bone_needle, Bone Needle
witchery:broom, Broom
witchery:enchanted_broom, Enchanted Broom
witchery:attuned_stone, Attuned Stone
witchery:charged_attuned_stone, Attuned Stone (Charged)
witchery:waystone, Waystone
witchery:bound_waystone, Bound Waystone
witchery:blooded_waystone, Blooded Waystone
witchery:mutandis, Mutandis
witchery:mutandis_extremis, Mutandis Extremis
witchery:quicklime, Quicklime
witchery:gypsum, Gypsum
witchery:wood_ash, Wood Ash
witchery:belladonna_flower, Belladonna Flower
witchery:mandrake_root, Mandrake Root
witchery:snowbell_flower, Snowbell Flower
witchery:bat_wool, Wool of Bat
witchery:concentrated_bat_ball, Concentrated Bat Ball
witchery:dog_tongue, Tongue of Dog
witchery:refined_evil, Refined Evil
witchery:odd_porkchop, Porkchop?
witchery:cooked_odd_porkchop, Cooked Porkchop?
witchery:rowan_door_key, Rowan Door Key
witchery:rowan_keyring, Rowan Keyring
witchery:rock, Rock
witchery:dense_web, Dense Web
witchery:rowan_berries, Rowan Berries
witchery:necromantic_stone, Necromantic Stone
witchery:spectral_dust, Spectral Dust
witchery:artichoke_globe, Water Artichoke Globe
witchery:treefyd_seeds, Treefyd Seed
witchery:impregnated_leather, Impregnated Leather
witchery:fume_filter, Fume Filter
witchery:creeper_heart, Creeper Heart
witchery:frozen_heart, Frozen Heart
witchery:icy_needle, Icy Needle
witchery:ent_twig, Ent Twig
witchery:owlets_wing, Owlet's Wing
witchery:frogs_toe, Toe of Frog
witchery:wormy_apple, Wormy Apple
witchery:quartz_sphere, Quartz Sphere
witchery:happenstance_oil, Happenstance Oil
witchery:seer_stone, Seer Stone
witchery:sleeping_apple, Apple
witchery:disturbed_cotton, Disturbed Cotton
witchery:fanciful_thread, Fanciful Thread
witchery:tormented_twine, Tormented Twine
witchery:golden_thread, Golden Thread
witchery:fanciful_thinking_charm, Charm of Fanciful Thinking
witchery:wormwood, Wormwood
witchery:subdued_spirit, Subdued Spirit
witchery:subdued_village_spirit, Subdued Village Spirit
witchery:graveyard_dust, Graveyard Dust
witchery:binkys_skull, Binky's Skull
witchery:null_catalyst, Null Catalyst
witchery:nullified_leather, Nullified Leather
witchery:koboldite_dust, Koboldite Dust
witchery:koboldite_nugget, Koboldite Nugget
witchery:koboldite_ingot, Koboldite Ingot
witchery:pentacle, Pentacle
witchery:anointing_paste, Anointing Paste
witchery:wolfsbane, Wolfsbane
witchery:silver_deposits, Silver Deposits
witchery:sheep_liver, Raw Sheep's Liver
witchery:cooked_sheep_liver, Cooked Sheep's Liver
witchery:torn_page, Torn Page
witchery:woven_cruor, Woven Cruor
witchery:stake, Wooden Stake
witchery:warm_blood, Warm Blood
witchery:liliths_blood, Lilith's Blood
witchery:golden_heart, Heart of Gold
witchery:wooden_bolt, Wooden Bolt
witchery:nullifying_bolt, Nullifying Bolt
witchery:bone_bolt, Bone Bolt
witchery:splitting_bolt, Splitting Bolt
witchery:silver_bolt, Silver Bolt
witchery:demonic_contract, Demonic Contract
witchery:torment_contract, Torment
witchery:living_flame_contract, Living Flame
witchery:fiery_tolerance_contract, Fiery Tolerance
witchery:evaporation_contract, Evaporation
witchery:fiery_touch_contract, Fiery Touch
witchery:melting_touch_contract, Melting Touch
witchery:poppet, Poppet
witchery:earth_protection_poppet, Earth Protection Poppet
witchery:water_protection_poppet, Water Protection Poppet
witchery:fire_protection_poppet, Fire Protection Poppet
witchery:hunger_protection_poppet, Hunger Protection Poppet
witchery:tool_protection_poppet, Tool Protection Poppet
witchery:death_protection_poppet, Death Protection Poppet
witchery:voodoo_protection_poppet, Voodoo Protection Poppet
witchery:voodoo_poppet, Voodoo Poppet
witchery:vampiric_poppet, Vampiric Poppet
witchery:poppet_protection_poppet, Poppet Protection Poppet
witchery:armor_protection_poppet, Armor Protection Poppet
witchery:taglock_kit, Taglock Kit
witchery:bound_taglock_kit, Bound Taglock Kit
witchery:universal_antidote, Universal Antidote
witchery:meaty_stew, Meaty Stew
witchery:raw_meaty_stew, Raw Meaty Stew
witchery:boline, Boline
witchery:arthana, Arthana
witchery:huntsmans_spear, Spear of the Huntsman
witchery:crossbow_pistol, Witch Hunter Pistol Crossbow
witchery:deaths_hand, Hand of Death
witchery:deployed_deaths_hand, Hand of Death
witchery:silver_sword, Silver Sword
witchery:cane_sword, Cane Sword
witchery:drawn_cane_sword, Cane Sword (Drawn)
witchery:witches_hand, Witches Hand
witchery:circle_talisman, Circle Talisman
witchery:mystic_branch, Mystic Branch
witchery:water_diviner, Water Diviner
witchery:lava_diviner, Lava Diviner
witchery:polynesia_charm, Polynesia Charm
witchery:devils_tongue_charm, Devils Tongue Charm
witchery:mutating_sprig, Mutating Sprig
witchery:parasytic_louse, Parasytic Louse
witchery:brew_bag, Brew Bag
witchery:spectral_stone, Spectral Stone
witchery:poppet_shelf_compass, Poppet Shelf Compass
witchery:koboldite_pickaxe, Koboldite Pickaxe
witchery:brew_bottle, Brew
witchery:splash_brew_bottle, item.witchery.splash_brew_bottle.name
witchery:lingering_brew_bottle, Lingering Brew Bottle
witchery:combustion_brew, Brew of Combustion
witchery:endless_water_brew, Brew of Endless Water
witchery:biome_note, Biome Note
witchery:leonards_urn1, Leonard's Urn
witchery:leonards_urn2, Leonard's Urn
witchery:leonards_urn3, Leonard's Urn
witchery:leonards_urn4, Leonard's Urn
witchery:player_compass, Player Compass
witchery:moon_charm, Moon Charm
witchery:hunts_horn, Horn of the Hunt
witchery:creative_medallion, Medallion of Blood and Beast
witchery:glass_goblet, Glass Goblet
witchery:full_glass_goblet, Full Glass Goblet
witchery:sun_grenade, Sun Grenade
witchery:duplication_grenade, Duplication Grenade
witchery:rowan_boat, Rowan Boat
witchery:alder_boat, Alder Boat
witchery:hawthorn_boat, Hawthorn Boat
witchery:witches_hat, Witches' Hat
witchery:babas_hat, Baba Yaga's Hat
witchery:witches_robes, Witches Robes
witchery:necromancer_robes, Necromancer Robes
witchery:biting_belt, Biting Belt
witchery:bark_belt, Bark Belt
witchery:icy_slippers, Icy Slippers
witchery:ruby_slippers, Ruby Slippers
witchery:seeping_shoes, Seeping Shoes
witchery:hunter_hat, Witch Hunter Hat
witchery:hunter_coat, Witch Hunter Coat
witchery:hunter_leggings, Witch Hunter Trousers
witchery:hunter_boots, Witch Hunter Boots
witchery:silvered_hunter_hat, Witch Hunter Hat (Silvered)
witchery:silvered_hunter_coat, Witch Hunter Coat (Silvered)
witchery:silvered_hunter_leggings, Witch Hunter Trousers (Silvered)
witchery:silvered_hunter_boots, Witch Hunter Boots (Silvered)
witchery:dawn_hunter_hat, Witch Hunter Dawn Hat
witchery:dawn_hunter_coat, Witch Hunter Dawn Coat
witchery:dawn_hunter_leggings, Witch Hunter Dawn Trousers
witchery:dawn_hunter_boots, Witch Hunter Dawn Boots
witchery:deaths_hood, Death's Hood
witchery:deaths_robe, Death's Robe
witchery:deaths_footwear, Death's Footwear
witchery:mogs_quiver, Mog's Quiver
witchery:gulgs_grudle, Gulg's Gurdle
witchery:twisting_band, Twisting Band
witchery:earmuffs, Earmuffs
witchery:vampire_top_hat, Vampire Top Hat
witchery:vampire_veil_hat, Vampire Veil Hat
witchery:vampire_helmet, Vampire Helmet
witchery:vampire_coat, Vampire Waist Coat
witchery:vampire_corset, Vampire Corset
witchery:vampire_chestplate, Vampire Chestplate
witchery:vampire_trousers, Vampire Trousers
witchery:vampire_skirt, Vampire Skirt
witchery:vampire_leggings, Vampire Leggings
witchery:vampire_shoes, Vampire Shoes
witchery:vampire_heels, Vampire Heels
witchery:vampire_boots, Vampire Boots
forge:bucketfilled, %s Bucket
baubles:ring:0, Miner's Ring
thaumcraft:thaumonomicon:0, Thaumonomicon
thaumcraft:curio:0, Arcane Curiosity
thaumcraft:curio:1, Preserved Curiosity
thaumcraft:curio:2, Ancient Curiosity
thaumcraft:curio:3, Eldritch Curiosity
thaumcraft:curio:4, Illuminating Curiosity
thaumcraft:curio:5, Twisted Curiosity
thaumcraft:curio:6, Crimson Rites
thaumcraft:loot_bag:0, Common Treasure
thaumcraft:loot_bag:1, Uncommon Treasure
thaumcraft:loot_bag:2, Rare Treasure
thaumcraft:primordial_pearl, item.primordial_pearl.name
thaumcraft:pech_wand, Pech Wand
thaumcraft:celestial_notes:0, Celestial Notes
thaumcraft:celestial_notes:1, Celestial Notes
thaumcraft:celestial_notes:2, Celestial Notes
thaumcraft:celestial_notes:3, Celestial Notes
thaumcraft:celestial_notes:4, Celestial Notes
thaumcraft:celestial_notes:5, Celestial Notes
thaumcraft:celestial_notes:6, Celestial Notes
thaumcraft:celestial_notes:7, Celestial Notes
thaumcraft:celestial_notes:8, Celestial Notes
thaumcraft:celestial_notes:9, Celestial Notes
thaumcraft:celestial_notes:10, Celestial Notes
thaumcraft:celestial_notes:11, Celestial Notes
thaumcraft:celestial_notes:12, Celestial Notes
thaumcraft:amber, Amber
thaumcraft:quicksilver, Quicksilver
thaumcraft:ingot:0, Thaumium Ingot
thaumcraft:ingot:1, Void Metal Ingot
thaumcraft:ingot:2, Alchemical Brass Ingot
thaumcraft:nugget:0, Iron Nugget
thaumcraft:nugget:1, Copper Nugget
thaumcraft:nugget:2, Tin Nugget
thaumcraft:nugget:3, Silver Nugget
thaumcraft:nugget:4, Lead Nugget
thaumcraft:nugget:5, Quicksilver Drop
thaumcraft:nugget:6, Thaumium Nugget
thaumcraft:nugget:7, Void Metal Nugget
thaumcraft:nugget:8, Alchemical Brass Nugget
thaumcraft:nugget:9, Quartz Sliver
thaumcraft:nugget:10, Rare Earths
thaumcraft:cluster:0, Native Iron Cluster
thaumcraft:cluster:1, Native Gold Cluster
thaumcraft:cluster:2, Native Copper Cluster
thaumcraft:cluster:3, Native Tin Cluster
thaumcraft:cluster:4, Native Silver Cluster
thaumcraft:cluster:5, Native Lead Cluster
thaumcraft:cluster:6, Native Cinnabar Cluster
thaumcraft:cluster:7, Native Quartz Cluster
thaumcraft:fabric, Enchanted Fabric
thaumcraft:vis_resonator, Vis Resonator
thaumcraft:tallow, Magic Tallow
thaumcraft:mechanism_simple, Simple Arcane Mechanism
thaumcraft:mechanism_complex, Complex Arcane Mechanism
thaumcraft:plate:0, Brass Plate
thaumcraft:plate:1, Iron Plate
thaumcraft:plate:2, Thaumium Plate
thaumcraft:plate:3, Void Metal Plate
thaumcraft:filter, Essentia Filter
thaumcraft:morphic_resonator, Morphic Resonator
thaumcraft:salis_mundus, Salis Mundus
thaumcraft:mirrored_glass, Mirrored Glass
thaumcraft:void_seed, Void Seed
thaumcraft:mind:0, Clockwork Mind
thaumcraft:mind:1, Biothaumic Mind
thaumcraft:module:0, Vision Module
thaumcraft:module:1, Aggression Module
thaumcraft:crystal_essence, %s Vis Crystal
thaumcraft:chunk:0, Beef Nugget
thaumcraft:chunk:1, Chicken Nugget
thaumcraft:chunk:2, Pork Nugget
thaumcraft:chunk:3, Fish Nugget
thaumcraft:chunk:4, Rabbit Nugget
thaumcraft:chunk:5, Mutton Nugget
thaumcraft:triple_meat_treat, Triple Meat Treat
thaumcraft:brain, Zombie Brain
thaumcraft:label:0, Blank Label
thaumcraft:phial:0, Glass Phial
thaumcraft:phial:1, Phial of Aer Essentia
thaumcraft:phial:1, Phial of Terra Essentia
thaumcraft:phial:1, Phial of Ignis Essentia
thaumcraft:phial:1, Phial of Aqua Essentia
thaumcraft:phial:1, Phial of Ordo Essentia
thaumcraft:phial:1, Phial of Perditio Essentia
thaumcraft:phial:1, Phial of Vacuos Essentia
thaumcraft:phial:1, Phial of Lux Essentia
thaumcraft:phial:1, Phial of Motus Essentia
thaumcraft:phial:1, Phial of Gelum Essentia
thaumcraft:phial:1, Phial of Vitreus Essentia
thaumcraft:phial:1, Phial of Metallum Essentia
thaumcraft:phial:1, Phial of Victus Essentia
thaumcraft:phial:1, Phial of Mortuus Essentia
thaumcraft:phial:1, Phial of Potentia Essentia
thaumcraft:phial:1, Phial of Permutatio Essentia
thaumcraft:phial:1, Phial of Praecantatio Essentia
thaumcraft:phial:1, Phial of Auram Essentia
thaumcraft:phial:1, Phial of Alkimia Essentia
thaumcraft:phial:1, Phial of Vitium Essentia
thaumcraft:phial:1, Phial of Tenebrae Essentia
thaumcraft:phial:1, Phial of Alienis Essentia
thaumcraft:phial:1, Phial of Volatus Essentia
thaumcraft:phial:1, Phial of Herba Essentia
thaumcraft:phial:1, Phial of Instrumentum Essentia
thaumcraft:phial:1, Phial of Fabrico Essentia
thaumcraft:phial:1, Phial of Machina Essentia
thaumcraft:phial:1, Phial of Vinculum Essentia
thaumcraft:phial:1, Phial of Spiritus Essentia
thaumcraft:phial:1, Phial of Cognitio Essentia
thaumcraft:phial:1, Phial of Sensus Essentia
thaumcraft:phial:1, Phial of Aversio Essentia
thaumcraft:phial:1, Phial of Praemunio Essentia
thaumcraft:phial:1, Phial of Desiderium Essentia
thaumcraft:phial:1, Phial of Exanimis Essentia
thaumcraft:phial:1, Phial of Bestia Essentia
thaumcraft:phial:1, Phial of Humanus Essentia
thaumcraft:phial:1, Phial of Chronos Essentia
thaumcraft:phial:1, Phial of Anteanus Essentia
thaumcraft:phial:1, Phial of Priscus Essentia
thaumcraft:phial:1, Phial of Rattus Essentia
thaumcraft:alumentum:0, Alumentum
thaumcraft:jar_brace, Brass Lid Brace
thaumcraft:bottle_taint, Bottle of Taint
thaumcraft:sanity_soap, Sanitizing Soap
thaumcraft:bath_salts, Purifying Bath Salts
thaumcraft:turret:0, Automated Crossbow
thaumcraft:turret:1, Advanced Automated Crossbow
thaumcraft:turret:2, Arcane Bore
thaumcraft:causality_collapser, Causality Collapser
thaumcraft:scribing_tools, Scribing Tools
thaumcraft:thaumometer, Thaumometer
thaumcraft:resonator, Essentia Resonator
thaumcraft:sanity_checker, Sanity Checker
thaumcraft:hand_mirror, Magic Hand Mirror
thaumcraft:thaumium_axe, Thaumium Axe
thaumcraft:thaumium_sword, Thaumium Sword
thaumcraft:thaumium_shovel, Thaumium Shovel
thaumcraft:thaumium_pick, Thaumium Pickaxe
thaumcraft:thaumium_hoe, Thaumium Hoe
thaumcraft:void_axe, Void Axe
thaumcraft:void_sword, Void Sword
thaumcraft:void_shovel, Void Shovel
thaumcraft:void_pick, Void Pickaxe
thaumcraft:void_hoe, Void Hoe
thaumcraft:elemental_axe, Axe of the Stream
thaumcraft:elemental_sword, Sword of the Zephyr
thaumcraft:elemental_shovel, Shovel of the Earthmover
thaumcraft:elemental_pick, Pickaxe of the Core
thaumcraft:elemental_hoe, Hoe of Growth
thaumcraft:primal_crusher, Primal Crusher
thaumcraft:crimson_blade, Crimson Blade
thaumcraft:grapple_gun, Arcane Grappler
thaumcraft:grapple_gun_tip, Grappler Head
thaumcraft:grapple_gun_spool, Grappler Spool
thaumcraft:goggles, Goggles of Revealing
thaumcraft:thaumium_helm, Thaumium Helm
thaumcraft:thaumium_chest, Thaumium Chestplate
thaumcraft:thaumium_legs, Thaumium Leggings
thaumcraft:thaumium_boots, Thaumium Boots
thaumcraft:cloth_chest, Thaumaturge's Robe
thaumcraft:cloth_legs, Thaumaturge's Leggings
thaumcraft:cloth_boots, Thaumaturge's Boots
thaumcraft:traveller_boots, Boots of the Traveller
thaumcraft:fortress_helm, Thaumium Fortress Helm
thaumcraft:fortress_chest, Thaumium Fortress Cuirass
thaumcraft:fortress_legs, Thaumium Fortress Thigh Guards
thaumcraft:void_helm, Void Helm
thaumcraft:void_chest, Void Chestplate
thaumcraft:void_legs, Void Leggings
thaumcraft:void_boots, Void Boots
thaumcraft:void_robe_helm, Void Thaumaturge Hood
thaumcraft:void_robe_chest, Void Thaumaturge Robe
thaumcraft:void_robe_legs, Void Thaumaturge Leggings
thaumcraft:crimson_plate_helm, Crimson Cult Helm
thaumcraft:crimson_plate_chest, Crimson Cult Chestplate
thaumcraft:crimson_plate_legs, Crimson Cult Greaves
thaumcraft:crimson_boots, Crimson Cult Boots
thaumcraft:crimson_robe_helm, Crimson Cult Hood
thaumcraft:crimson_robe_chest, Crimson Cult Robe
thaumcraft:crimson_robe_legs, Crimson Cult Leggings
thaumcraft:crimson_praetor_helm, Crimson Praetor Helm
thaumcraft:crimson_praetor_chest, Crimson Praetor Chestplate
thaumcraft:crimson_praetor_legs, Crimson Praetor Greaves
thaumcraft:baubles:0, Mundane Amulet
